Account	Flag	Check Number	Date	Payee	Category	Master Category	Sub Category	Memo	Outflow	Inflow	Cleared	Running Balance
Checking Main			11/30/2016	England	Everday Wants:Spending Money	Everday Wants	Spending Money	Venmo to Eli and Kyle	$37.50 	$0.00 	R	"$3,248.55 "
Checking Main			12/4/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Detroit 	$17.56 	$0.00 	R	"$3,230.99 "
Checking Main			12/23/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	$0.00 	"$1,948.50 "	R	"$5,179.49 "
Checking Main			12/23/2016	Eli Wacht	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Fries	$3.33 	$0.00 	R	"$5,176.16 "
Checking Main			12/23/2016	Anthony Dicosomo	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Beer	$5.00 	$0.00 	R	"$5,171.16 "
Checking Main			12/26/2016	Mom And Dad	Income:Available this month	Income	Available this month	Christmas	$0.00 	$500.00 	R	"$5,671.16 "
Checking Main			12/27/2016	Transfer : Capital One Quicksilver					$534.34 	$0.00 	R	"$5,136.82 "
Checking Main			12/27/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,895.00 "	$0.00 	R	"$1,241.82 "
Checking Main			12/31/2016	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.36 	R	"$1,242.18 "
Checking Main			1/6/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Pit payback	$0.00 	$21.74 	R	"$1,263.92 "
Checking Main			1/6/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$43.48 	$0.00 	R	"$1,220.44 "
Checking Main			1/12/2017	Transfer : Staging Main					$0.00 	"$1,500.00 "	R	"$2,720.44 "
Checking Main			1/12/2017	Transfer : Capital One Quicksilver					"$1,979.06 "	$0.00 	R	$741.38 
Checking Main			1/13/2017	Uber	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips	Detroit 	$25.52 	$0.00 	R	$715.86 
Checking Main			1/20/2017	Transfer : Staging Main					$0.00 	"$3,000.00 "	R	"$3,715.86 "
Checking Main			1/22/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Pit rent feb	$0.00 	"$1,947.50 "	R	"$5,663.36 "
Checking Main			1/22/2017	All State	Everyday Needs:Utilities	Everyday Needs	Utilities	Insurance refund 	$0.00 	$75.00 	R	"$5,738.36 "
Checking Main			1/25/2017	Transfer : Capital One Quicksilver					$681.02 	$0.00 	R	"$5,057.34 "
Checking Main			1/25/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent		"$3,895.00 "	$0.00 	R	"$1,162.34 "
Checking Main			1/29/2017	Lovepop	Everday Wants:Spending Money	Everday Wants	Spending Money	Valentine's Day card	$12.74 	$0.00 	R	"$1,149.60 "
Checking Main			1/31/2017	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.28 	R	"$1,149.88 "
Checking Main			2/3/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	pit payback	$0.00 	$23.97 	R	"$1,173.85 "
Checking Main			2/5/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$47.93 	$0.00 	R	"$1,125.92 "
Checking Main			2/16/2017	Transfer : Staging Main					$0.00 	"$3,000.00 "	R	"$4,125.92 "
Checking Main			2/19/2017	Transfer : Capital One Quicksilver					$471.91 	$0.00 	R	"$3,654.01 "
Checking Main			2/20/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Rent from Pit for March	$0.00 	"$1,947.50 "	R	"$5,601.51 "
Checking Main			2/25/2017	Liquior Store	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Kyle payback	$0.00 	$17.01 	R	"$5,618.52 "
Checking Main			2/25/2017	Transfer : Capital One Quicksilver					$134.89 	$0.00 	R	"$5,483.63 "
Checking Main			2/25/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,895.00 "	$0.00 	R	"$1,588.63 "
Checking Main			2/28/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Pit Payback	$0.00 	$22.43 	R	"$1,611.06 "
Checking Main			2/28/2017	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.34 	R	"$1,611.40 "
Checking Main			2/28/2017	FedEx	Everday Wants:Spending Money	Everday Wants	Spending Money	Haley letters	$8.00 	$0.00 	R	"$1,603.40 "
Checking Main			2/28/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$44.86 	$0.00 	R	"$1,558.54 "
Checking Main			3/3/2017	Transfer : Capital One Quicksilver					$912.75 	$0.00 	R	$645.79 
Checking Main			3/5/2017	Walmart	Everday Wants:Spending Money	Everday Wants	Spending Money	Paper towels pit refund	$0.00 	$8.67 	R	$654.46 
Checking Main			3/12/2017	Uber	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips	Florida 	$52.88 	$0.00 	R	$601.58 
Checking Main			3/17/2017	Transfer : Staging Main					$0.00 	"$4,000.00 "	R	"$4,601.58 "
Checking Main			3/22/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August) pit	$0.00 	"$1,947.50 "	R	"$6,549.08 "
Checking Main			3/25/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,895.00 "	$0.00 	R	"$2,654.08 "
Checking Main			3/26/2017	Transfer : Capital One Quicksilver					$763.44 	$0.00 	R	"$1,890.64 "
Checking Main			3/31/2017	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.36 	R	"$1,891.00 "
Checking Main			4/9/2017	Churrascaria Plataform	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Payback for lunch	$0.00 	$59.12 	R	"$1,950.12 "
Checking Main			4/9/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities		$0.00 	$29.48 	R	"$1,979.60 "
Checking Main			4/9/2017	Starlight Diner	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Payback for breakfast	$0.00 	$14.00 	R	"$1,993.60 "
Checking Main			4/9/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Monthly Utilities	$46.96 	$0.00 	R	"$1,946.64 "
Checking Main			4/10/2017	The Grafton	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Refund from Ken	$0.00 	$10.00 	R	"$1,956.64 "
Checking Main			4/10/2017	Mom	Everday Wants:Spending Money	Everday Wants	Spending Money	Testing out the Facebook Messanger Funding system	$0.01 	$0.00 	R	"$1,956.63 "
Checking Main			4/12/2017	Transfer : Capital One Quicksilver				Pay off the balance	"$1,162.19 "	$0.00 	R	$794.44 
Checking Main			4/17/2017	Transfer : Staging Main					$0.00 	"$20,000.00 "	R	"$20,794.44 "
Checking Main			4/17/2017	Mom	Everday Wants:Spending Money	Everday Wants	Spending Money	Refund of the one cent for deferral	$0.00 	$0.01 	R	"$20,794.45 "
Checking Main			4/17/2017	Transfer : Mom & Dad Leverage Swap				Pseudo payback	"$15,000.00 "	$0.00 	R	"$5,794.45 "
Checking Main			4/22/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Pit portion fo the rent	$0.00 	"$1,947.50 "	R	"$7,741.95 "
Checking Main			4/25/2017	Transfer : Capital One Quicksilver					$56.90 	$0.00 	R	"$7,685.05 "
Checking Main			4/25/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,895.00 "	$0.00 	R	"$3,790.05 "
Checking Main			4/28/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$40.56 	$0.00 	R	"$3,749.49 "
Checking Main			4/30/2017	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.68 	R	"$3,750.17 "
Checking Main			5/6/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment - pit repayment	$0.00 	$20.28 	R	"$3,770.45 "
Checking Main			5/9/2017	Ottos Tacos	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Kyle	$6.50 	$0.00 	R	"$3,763.95 "
Checking Main			5/14/2017	Transfer : Mom & Dad Leverage Swap				Dad purchased something on my account	$72.08 	$0.00 	R	"$3,691.87 "
Checking Main			5/15/2017	Transfer : Capital One Quicksilver					"$1,199.89 "	$0.00 	R	"$2,491.98 "
Checking Main			5/16/2017	Transfer : Mom & Dad Leverage Swap				Dad purchased something on my account	$0.00 	$72.08 	R	"$2,564.06 "
Checking Main			5/23/2017	Transfer : Staging Main					$0.00 	"$4,000.00 "	R	"$6,564.06 "
Checking Main			5/25/2017	Transfer : Capital One Quicksilver				Payment	$210.81 	$0.00 	R	"$6,353.25 "
Checking Main			5/28/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$42.40 	$0.00 	R	"$6,310.85 "
Checking Main			5/28/2017	Transfer : Capital One Quicksilver					"$1,014.92 "	$0.00 	R	"$5,295.93 "
Checking Main			5/31/2017	Monthly Interest	Income:Available this month	Income	Available this month	0.71	$0.00 	$0.71 	R	"$5,296.64 "
Checking Main			6/3/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities		$0.00 	$21.20 	R	"$5,317.84 "
Checking Main			6/8/2017	Kyle	Everday Wants:Spending Money	Everday Wants	Spending Money	Fucking around	$1.00 	$0.00 	R	"$5,316.84 "
Checking Main			6/18/2017	Spirit	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips	Mom payback 	$0.00 	$120.19 	R	"$5,437.03 "
Checking Main			6/18/2017	Mom	Infrequent Purchases and Payments:Higher Education [funded]	Infrequent Purchases and Payments	Higher Education [funded]	Funny Penny	$0.00 	$0.01 	R	"$5,437.04 "
Checking Main			6/21/2017	Transfer : Staging Main					$0.00 	"$4,000.00 "	R	"$9,437.04 "
Checking Main			6/25/2017	Transfer : Capital One Quicksilver					$755.59 	$0.00 	R	"$8,681.45 "
Checking Main			6/25/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,945.00 "	$0.00 	R	"$4,736.45 "
Checking Main			6/26/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Pit payback	$0.00 	"$1,947.50 "	R	"$6,683.95 "
Checking Main			6/26/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Pit payback	$0.00 	$28.55 	R	"$6,712.50 "
Checking Main			6/26/2017	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Pit payback for the community fee	$0.00 	$25.00 	R	"$6,737.50 "
Checking Main			6/28/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$57.09 	$0.00 	R	"$6,680.41 "
Checking Main			6/30/2017	Monthly Interest	Infrequent Purchases and Payments:Higher Education [funded]	Infrequent Purchases and Payments	Higher Education [funded]		$0.00 	$1.02 	R	"$6,681.43 "
Checking Main			7/1/2017	Transfer : Capital One Quicksilver					"$2,074.76 "	$0.00 	R	"$4,606.67 "
Checking Main			7/5/2017	Transfer : Vanguard	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	Auto Investment	$230.75 	$0.00 	R	"$4,375.92 "
Checking Main			7/19/2017	Transfer : Vanguard	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	Auto Investment	$230.75 	$0.00 	R	"$4,145.17 "
Checking Main			7/25/2017	Transfer : Capital One Quicksilver					$179.61 	$0.00 	R	"$3,965.56 "
Checking Main			7/31/2017	Monthly Interest	Infrequent Purchases and Payments:Higher Education [funded]	Infrequent Purchases and Payments	Higher Education [funded]		$0.00 	$0.77 	R	"$3,966.33 "
Checking Main	Red		7/31/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$94.35 	$0.00 	R	"$3,871.98 "
Checking Main			7/31/2017	Mom	Infrequent Purchases and Payments:Moving Expenses	Infrequent Purchases and Payments	Moving Expenses	Car and gas for moving 	$248.00 	$0.00 	R	"$3,623.98 "
Checking Main			7/31/2017	Aunt Jane	Infrequent Purchases and Payments:Moving Expenses	Infrequent Purchases and Payments	Moving Expenses	For the use of car in moving 	$250.00 	$0.00 	R	"$3,373.98 "
Checking Main			8/1/2017	Anthony Dicosomo	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Awesome time at southern hospitality brunch + drinks on my roof + loopy doopy flamingo! 	$75.00 	$0.00 	R	"$3,298.98 "
Checking Main			8/2/2017	Transfer : Vanguard	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	Auto Investment	$230.75 	$0.00 	R	"$3,068.23 "
Checking Main			8/5/2017	Peter Lugar	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	The best steak of my life with Quinn S. Porterhouse for 2 medium rare	$137.53 	$0.00 	R	"$2,930.70 "
Checking Main			8/7/2017	Peter Lugar	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	With Quinn	$0.00 	$60.00 	R	"$2,990.70 "
Checking Main			8/8/2017	Aunt Jane	Infrequent Purchases and Payments:Moving Expenses	Infrequent Purchases and Payments	Moving Expenses	Backout Transaction	$0.00 	$250.00 	R	"$3,240.70 "
Checking Main			8/12/2017	Anthony Dicosomo	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Cab ride + frying pan	$20.00 	$0.00 	R	"$3,220.70 "
Checking Main			8/13/2017	Sam Mehr	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Pizza	$17.93 	$0.00 	R	"$3,202.77 "
Checking Main			8/15/2017	Sam Mehr	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Gas	$7.00 	$0.00 	R	"$3,195.77 "
Checking Main			8/15/2017	Sam Mehr	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Gas	$7.41 	$0.00 	R	"$3,188.36 "
Checking Main			8/15/2017	Sam Mehr	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Gas	$14.30 	$0.00 	R	"$3,174.06 "
Checking Main			8/15/2017	Sam Mehr	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Gas	$16.75 	$0.00 	R	"$3,157.31 "
Checking Main			8/16/2017	Sam Mehr	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Admission to Crater Lake	$7.50 	$0.00 	R	"$3,149.81 "
Checking Main			8/16/2017	Sam Mehr	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Gas	$12.50 	$0.00 	R	"$3,137.31 "
Checking Main			8/16/2017	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	I think they fucked up	$44.79 	$0.00 	R	"$3,092.52 "
Checking Main			8/16/2017	Sam Mehr	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Hotel	$169.00 	$0.00 	R	"$2,923.52 "
Checking Main			8/16/2017	Transfer : Vanguard	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	Auto Investment	$230.75 	$0.00 	R	"$2,692.77 "
Checking Main			8/19/2017	TF Cornerstone	Income:Available this month	Income	Available this month	Security deposit	$0.00 	"$1,947.66 "	R	"$4,640.43 "
Checking Main			8/19/2017	Con Edison	Infrequent Purchases and Payments:Higher Education [funded]	Infrequent Purchases and Payments	Higher Education [funded]	Pit payback 	$0.00 	$26.73 	R	"$4,667.16 "
Checking Main			8/19/2017	Amazon	Everday Wants:Spending Money	Everday Wants	Spending Money	Curtain rod hooks	$5.76 	$0.00 	R	"$4,661.40 "
Checking Main			8/19/2017	Transfer : Capital One Quicksilver					"$1,412.26 "	$0.00 	R	"$3,249.14 "
Checking Main			8/21/2017	Transfer : Staging Main					$0.00 	"$10,000.00 "	R	"$13,249.14 "
Checking Main			8/21/2017	Transfer : Staging Main					$0.00 	"$2,000.00 "	R	"$15,249.14 "
Checking Main			8/21/2017	Mom	Infrequent Purchases and Payments:Moving Expenses	Infrequent Purchases and Payments	Moving Expenses	Car and gas for moving 	$0.00 	$250.00 	R	"$15,499.14 "
Checking Main			8/21/2017	University Of Michigan	Infrequent Purchases and Payments:Higher Education [funded]	Infrequent Purchases and Payments	Higher Education [funded]	F17 Tuition Payment	"$9,547.69 "	$0.00 	R	"$5,951.45 "
Checking Main			8/25/2017	Transfer : Capital One Quicksilver					$92.26 	$0.00 	R	"$5,859.19 "
Checking Main			8/31/2017	Monthly Interest	Infrequent Purchases and Payments:Higher Education [funded]	Infrequent Purchases and Payments	Higher Education [funded]		$0.00 	$0.73 	R	"$5,859.92 "
Checking Main			9/6/2017	Transfer : Vanguard	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	Auto Investment	$508.60 	$0.00 	R	"$5,351.32 "
Checking Main			9/8/2017	Parking	Everday Wants:Spending Money	Everday Wants	Spending Money	Parking for Fritas	$3.20 	$0.00 	R	"$5,348.12 "
Checking Main			9/15/2017	TF Cornerstone	Income:Available this month	Income	Available this month	Security deposit	$0.00 	$25.00 	R	"$5,373.12 "
Checking Main			9/15/2017	Tank	Everyday Needs:Car Maint. & Ins [1093 6/1]	Everyday Needs	Car Maint. & Ins [1093 6/1]	Fix coolant leak	$240.00 	$0.00 	R	"$5,133.12 "
Checking Main			9/16/2017	Starbucks	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Sam	$9.22 	$0.00 	R	"$5,123.90 "
Checking Main			9/16/2017	Frita Batidos	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Sam Lindberg	$32.00 	$0.00 	R	"$5,091.90 "
